date,ride,temp_mean,temp_max,temp_min,precip_mm,rain_mm,snow_cm,wind_max,humidity,is_rain,is_heavy_rain,dow,is_weekend,is_holiday,is_workday,month,year,pandemic_acute,pandemic_recovery,is_pandemic
2019-01-01,6813453.0,-5.7,-1.3,-9.0,0.0,0.0,0.0,18.2,57.0,0,0,1,0,1,0,1,2019,0,0,0
2019-01-02,15214002.0,-6.0,-1.6,-8.6,0.0,0.0,0.0,12.6,47.0,0,0,2,0,0,1,1,2019,0,0,0
2019-01-03,15716213.0,-5.0,1.1,-8.6,0.0,0.0,0.0,8.7,47.0,0,0,3,0,0,1,1,2019,0,0,0
2019-01-04,16509281.0,-2.8,2.8,-7.4,0.0,0.0,0.0,13.0,66.0,0,0,4,0,0,1,1,2019,0,0,0
2019-01-05,12092335.0,-4.2,-0.5,-7.2,0.0,0.0,0.0,17.2,47.0,0,0,5,1,0,0,1,2019,0,0,0
2019-01-06,8789266.0,-4.3,0.9,-7.0,0.0,0.0,0.0,10.9,47.0,0,0,6,1,0,0,1,2019,0,0,0
2019-01-07,15619170.0,-3.6,2.1,-7.3,0.0,0.0,0.0,15.0,57.0,0,0,0,0,0,1,1,2019,0,0,0
2019-01-08,15793381.0,-4.4,-0.5,-7.3,0.0,0.0,0.0,24.5,36.0,0,0,1,0,0,1,1,2019,0,0,0
2019-01-09,15598473.0,-6.3,-1.6,-9.3,0.0,0.0,0.0,14.0,28.0,0,0,2,0,0,1,1,2019,0,0,0
2019-01-10,15921158.0,-2.5,2.9,-5.8,0.0,0.0,0.0,17.5,49.0,0,0,3,0,0,1,1,2019,0,0,0
2019-01-11,16673540.0,-0.5,4.5,-4.2,0.0,0.0,0.0,8.7,66.0,0,0,4,0,0,1,1,2019,0,0,0
2019-01-12,12532124.0,0.5,6.0,-3.4,0.0,0.0,0.0,10.8,64.0,0,0,5,1,0,0,1,2019,0,0,0
2019-01-13,8972482.0,-1.2,5.8,-5.1,0.0,0.0,0.0,10.8,65.0,0,0,6,1,0,0,1,2019,0,0,0
2019-01-14,15330431.0,-1.0,5.0,-5.3,0.0,0.0,0.0,9.3,81.0,0,0,0,0,0,1,1,2019,0,0,0
2019-01-15,15623596.0,-2.6,0.9,-7.8,0.0,0.0,0.0,24.1,67.0,0,0,1,0,0,1,1,2019,0,0,0
2019-01-16,15751774.0,-6.3,-2.7,-9.6,0.0,0.0,0.0,16.2,40.0,0,0,2,0,0,1,1,2019,0,0,0
2019-01-17,16038308.0,-1.5,2.6,-4.9,0.0,0.0,0.0,19.7,55.0,0,0,3,0,0,1,1,2019,0,0,0
2019-01-18,16692844.0,-1.7,4.5,-6.1,0.0,0.0,0.0,12.6,47.0,0,0,4,0,0,1,1,2019,0,0,0
2019-01-19,12484719.0,0.9,6.7,-3.2,0.0,0.0,0.0,11.9,65.0,0,0,5,1,0,0,1,2019,0,0,0
2019-01-20,9029921.0,-2.4,0.2,-6.4,0.0,0.0,0.0,24.7,52.0,0,0,6,1,0,0,1,2019,0,0,0
2019-01-21,15444014.0,-2.1,4.0,-6.7,0.0,0.0,0.0,28.9,64.0,0,0,0,0,0,1,1,2019,0,0,0
2019-01-22,15826974.0,-0.5,5.5,-4.2,0.0,0.0,0.0,19.3,76.0,0,0,1,0,0,1,1,2019,0,0,0
2019-01-23,16038656.0,-0.3,6.1,-4.1,0.0,0.0,0.0,22.4,60.0,0,0,2,0,0,1,1,2019,0,0,0
2019-01-24,16134268.0,-2.8,3.8,-6.9,0.0,0.0,0.0,11.6,44.0,0,0,3,0,0,1,1,2019,0,0,0
2019-01-25,16846166.0,-3.1,1.5,-6.1,0.0,0.0,0.0,24.9,37.0,0,0,4,0,0,1,1,2019,0,0,0
2019-01-26,12668145.0,-4.0,0.6,-7.3,0.0,0.0,0.0,19.4,38.0,0,0,5,1,0,0,1,2019,0,0,0
2019-01-27,9242044.0,-1.9,3.5,-7.2,0.0,0.0,0.0,17.3,57.0,0,0,6,1,0,0,1,2019,0,0,0
2019-01-28,15661416.0,-0.1,2.5,-4.8,0.5,0.4,0.07,24.5,56.0,0,0,0,0,0,1,1,2019,0,0,0
2019-01-29,15868873.0,-2.8,3.8,-7.1,0.0,0.0,0.0,11.0,44.0,0,0,1,0,0,1,1,2019,0,0,0
2019-01-30,16049291.0,-0.3,6.2,-4.2,0.0,0.0,0.0,14.6,65.0,0,0,2,0,0,1,1,2019,0,0,0
2019-01-31,15770058.0,-2.9,-0.8,-6.7,0.0,0.0,0.0,16.7,34.0,0,0,3,0,0,1,1,2019,0,0,0
