feature,importance
is_workday,0.5980214271936258
lag_1,0.164594634501471
pandemic_acute,0.09817350372468542
roll7_mean,0.0717613975256789
roll28_mean,0.031430365922804245
lag_7,0.01582173740554
roll7_std,0.0025880739433021232
pandemic_recovery,0.0020780632723276203
is_holiday,0.0019464277194121268
wind_max,0.0014766940177245462
precip_mm,0.001441613060121469
dow,0.0013889991651965087
rain_mm,0.0013824785139063484
dow_sin,0.0013629772130889744
humidity,0.0012431050065660287
temp_min,0.0009825635202710373
dow_cos,0.0009617390082380802
temp_max,0.0008995458047224412
month,0.0007302752805139464
is_weekend,0.0007294988429077749
temp_mean,0.000711658152234021
snow_from_precip,9.005611892950205e-05
is_heavy_rain,6.471840647140123e-05
is_precip,5.979864276648127e-05
is_rain,5.864803749420548e-05
